1,555,548,0
2,653,643,0
3,941,920,0
4,1434,1406,0
5,2118,2075,0
6,2927,2877,0
7,5578,5509,0
8,6166,6087,0
9,8234,8141,0
10,9927,9802,0
11,12038,11891,0
12,16787,16630,0
13,19881,19716,0
14,23892,23707,0
15,27635,27440,0
16,30817,30587,0
17,34391,34110,0
18,37120,36814,0
19,40150,39829,0
20,42762,42354,0
21,44802,44386,0
22,45221,44759,0
23,60368,59895,0
24,66885,66358,0
25,69030,68413,0
26,71224,70513,0
27,73258,72434,0
28,75136,74211,0
29,75639,74619,0
30,76197,75077,0
31,76823,75550,0
32,78579,77001,0
33,78965,77022,0
34,79568,77241,36
35,80413,77754,36
36,81395,78166,42
37,82754,78600,42
38,84120,78928,44
39,86011,79356,44
40,88369,79932,44
41,90306,80136,45
42,92840,80261,45
43,95120,80386,45
44,97882,80537,45
45,101784,80690,45
46,105821,80770,66
47,109795,80823,66
48,113561,80860,66
49,118592,80887,959
50,125865,80921,1281
51,128343,80932,1663
52,145193,80945,2174
